"","size","size","dist","test","p.value","z","type"
"254",10,10,"Gamma","pearson.test",0.849467033391825,0.29,"SL"
"255",10,10,"Uniform","sf.test",0.999988474685443,0.48,"SB"
"256",10,10,"t","jarque.test",0.969370678858928,0.55,"SB"
"257",10,10,"Log-normal","shapiro.test",0.851141820803356,0.7,"SL"
"258",10,10,"Gamma","ad.test",0.619916898737367,0.77,"SL"
"259",10,10,"Uniform","energy.test",0.717171717171717,0.68,"SL"
"260",10,10,"t","cvm.test",0.600273054153339,0.94,"SL"
"261",10,10,"Log-normal","lillie.test",0.575984396170129,0.7,"SL"
"262",10,10,"Gamma","pearson.test",0.572406704470879,0.49,"SL"
"263",10,10,"Uniform","sf.test",0.660201843700776,0.7,"SL"
"264",10,10,"t","jarque.test",0.981938559570037,0.7,"SL"
"265",10,10,"Log-normal","shapiro.test",0.808857775409613,0.57,"SU"
"266",10,10,"Gamma","ad.test",0.885482730049104,0.51,"SU"
"267",10,10,"Uniform","energy.test",0.94949494949495,0.46,"SU"
"268",10,10,"t","cvm.test",0.930775235406837,0.49,"SU"
"269",10,10,"Log-normal","lillie.test",0.981510365307769,0.51,"SU"
"270",10,10,"Gamma","pearson.test",0.849467033391825,0.26,"SU"
"271",10,10,"Uniform","sf.test",0.920195890926671,0.51,"SU"
"272",10,10,"t","jarque.test",0.975128230233311,0.81,"SL"
"273",10,10,"Log-normal","shapiro.test",0.894670279869427,0.69,"SB"
"274",10,10,"Gamma","ad.test",0.796822322122991,0.65,"SB"
"275",10,10,"Uniform","energy.test",0.838383838383838,0.61,"SB"
"276",10,10,"t","cvm.test",0.711526989171809,0.63,"SB"
"277",10,10,"Log-normal","lillie.test",0.862031526931105,0.54,"SL"
"278",10,10,"Gamma","pearson.test",0.849467033391825,0.53,"SU"
"279",10,10,"Uniform","sf.test",0.894433149528785,0.65,"SB"
"280",10,10,"t","jarque.test",0.969432733668508,0.95,"SB"
"281",10,10,"Log-normal","shapiro.test",0.694732103866933,0.93,"SB"
"282",10,10,"Gamma","ad.test",0.521293726915418,0.28,"SL"
"283",10,10,"Uniform","energy.test",0.656565656565657,0.27,"SL"
"284",10,10,"t","cvm.test",0.666276774719485,0.29,"SB"
